JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
0,12,12000000,12000000,#N/A,1,
0,12,12000000,12000000,5,1,
0,12,44500000,44500000,2,1,
0,24,15000000,8125000,1,1,
0,11,10000000,10000000,2,1,
0,11,15000000,15000000,1,1,
0,60,50000000,30833295,1,1,
0,11,44000000,44000000,1,1,
0,60,100000000,46666560,1,1,
0,60,85000000,53833260,#N/A,1,
0,12,23000000,11500000,2,1,
0,12,35000000,35000000,1,1,
0,12,23000000,23000000,5,1,
1,24,10000000,8333320,1,1,
1,11,4800000,4800000,2,1,
0,60,30000000,22000000,1,1,
0,48,60000000,47500000,1,1,
1,60,10000000,10000000,1,1,
0,36,25000000,14583325,1,1,
1,60,35000000,27999980,1,1,
1,11,30000000,30000000,1,1,
1,36,20000000,15555520,1,1,
0,36,25000000,20138885,1,1,
0,7,2000000,2000000,2,1,
0,9,19200000,12800000,2,1,
0,12,19200000,19200000,1,1,
0,12,10000000,5736000,1,1,
1,36,13000000,3249895,1,1,
0,120,125000000,101041590,1,1,
0,60,25000000,21278360,2,1,
0,12,10000000,9999120,1,1,
